Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,146068,146154,146525,146260,146659,148478,149217,148166,147186,147978,148246,147877
2005,147125,147649,147745,148274,148878,150327,151122,150469,149838,150304,150239,149874
2006,149090,149686,150027,150209,150696,152557,153208,152465,151635,152397,152590,152571
2007,151924,151879,152236,151829,152350,154252,154871,153493,153400,153516,154035,153705
2008,152828,152503,153135,153208,154003,155582,156300,155387,154509,155012,154624,154349
2009,153445,153804,153728,153834,154336,155921,156255,154897,153617,153635,153539,152693
2010,152957,153194,153660,153911,153866,154767,155270,154678,153854,153652,153698,153156
2011,152536,152635,153022,152898,153449,154538,154812,154344,154022,154088,153683,153373
2012,153485,154114,154316,153905,154998,156385,156526,155255,155075,155779,154953,154904
2013,154794,154727,154512,154739,155734,157089,157196,155971,155536,154918,155046,154408
2014,154381,155027,155627,154845,155841,156997,157573,156434,155903,156616,156297,155521
2015,156050,156213,156318,156554,157719,158283,158527,157390,156607,157313,157340,157245
2016,157347,158279,158854,158488,158800,160135,160705,159800,159636,159783,159451,158968
2017,158676,159482,159912,159817,159979,161337,161911,160863,161049,160465,160466,159880
2018,160037,161494,161548,161280,161765,163277,163734,161909,161958,162723,162665,162510
2019,162104,162793,162823,162097,162655,164120,164941,164019,163943,164576,164386,164007
